0;#;FORM;LEMMA;POS;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;RIGHTLEMMA;AUTO_LEMMA;AUTO_POS;AUTO_GRAM
46494;# doc = C:\Users\Александр\Desktop\Olesar\LiveCorpus\Опоздавшие(1)\zhiznennyi_vybor.2.txt;;;;;;;;;;;;;;;;;
46495;"<speech role=""Мася@"" />";;;;;;;;;;;;;;;;;
46496;;Ладно;ЛАДНО;PART;PART;;;,   Ладно , классе ;о;н;д;а;Л;;О;ЛАДНО;PART;PART
46497;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46503;;десятом;ДЕСЯТЫЙ;A;- loc sg plen m -;;;так  в десятом я задумалась о;м;о;т;я;с;е;Й;ДЕСЯТЫЙ;A;- loc sg plen m -
46499;"<distinct form=""эдак"">";;;;;;;;;;;;;;;;;
46500;;так;ТАК;CONJ;CONJ;;;, классе  так  в десятом;к;а;т;;;;К;ТАК;CONJ;CONJ
46501;</distinct>;;;;;;;;;;;;;;;;;
46502;;в;В;PR;PR;;; так  в десятом я задумалась;в;;;;;;В;В;PR;PR
46522;;девятом;ДЕВЯТЫЙ;A;- loc sg plen m -;;;надо было в девятом потому , что;м;о;т;я;в;е;Й;ДЕВЯТЫЙ;A;- loc sg plen m -
46600;;уверена;УВЕРЕННЫЙ;A;- - sg brev f -;;;11 класса была уверена , что мне;а;н;е;р;е;в;Й;УВЕРЕННЫЙ;A;- - sg brev f -
46622;;нужна;НУЖНЫЙ;A;- - sg brev f -;;;оказалось , что нужна биология , и;а;н;ж;у;н;;Й;НУЖНЫЙ;A;- - sg brev f -
46506;;о;О;PR;PR;;;десятом я задумалась о том , кем;о;;;;;;О;О;PR;PR
46636;;всезнающий;ВСЕЗНАЮЩИЙ;A;- nom sg plen m -;;;потом мой  всезнающий  папа рассказал;й;и;щ;ю;а;н;Й;ВСЕЗНАЮЩИЙ;A;- nom sg plen m -
46508;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46710;;весенние;ВЕСЕННИЙ;A;- acc pl plen - inan;;;в вес.. в весенние каникулы , в;е;и;н;н;е;с;Й;ВЕСЕННИЙ;A;- acc pl plen - inan
46769;;широкая;ШИРОКИЙ;A;- nom sg plen f -;;;психология куда более широкая , чем я;я;а;к;о;р;и;Й;ШИРОКИЙ;A;- nom sg plen f -
46803;;Понятное;ПОНЯТНЫЙ;A;- nom sg plen n -;;;" : 	 Понятное дело , что";е;о;н;т;я;н;Й;ПОНЯТНЫЙ;A;- nom sg plen n -
46714;;общем;ОБЩИЙ;PARENTH;- loc sg plen m -;;;каникулы , в общем , я приехала;м;е;щ;б;о;;Й;ОБЩИЙ;A;- loc sg plen m -
46513;;потому;ПОТОМУ;ADVPRO;-;;;я хочу быть потому , что ,;у;м;о;т;о;п;У;ПОТОМУ;ADV;-
46514;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46515;;что;ЧТО;CONJ;CONJ;;;быть потому , что , вообще-то определиться;о;т;ч;;;;О;ЧТО;CONJ;CONJ
46516;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46517;;вообще-то;ВООБЩЕ-ТО;ADV;-;;;, что , вообще-то определиться надо было;о;т;-;е;щ;б;О;ВООБЩЕ-ТО;ADV;-
46809;;весенним;ВЕСЕННИЙ;A;- dat pl plen - -;;;что вот к весенним каникулам у меня;м;и;н;н;е;с;Й;ВЕСЕННИЙ;A;- dat pl plen - -
46519;;надо;НАДО;PRAEDIC;-;;;, вообще-то определиться надо было в девятом;о;д;а;н;;;О;НАДО;ADV;-
46889;;нудные;НУДНЫЙ;A;- acc pl plen - inan;;;ходила сдавать эти нудные экзамены , ну;е;ы;н;д;у;н;Й;НУДНЫЙ;A;- acc pl plen - inan
46521;;в;В;PR;PR;;;определиться надо было в девятом потому ,;в;;;;;;В;В;PR;PR
46913;;нервный;НЕРВНЫЙ;A;nom sg plen m inan-;;;у меня случился нервный срыв потому ,;й;ы;н;в;р;е;Й;НЕРВНЫЙ;A;- nom sg plen m -
46523;;потому;ПОТОМУ;ADVPRO;-;;;было в девятом потому , что профиль;у;м;о;т;о;п;У;ПОТОМУ;ADV;-
46524;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
46525;;что;ЧТО;CONJ;CONJ;;;девятом потому , что профиль и все;о;т;ч;;;;О;ЧТО;CONJ;CONJ
46925;;второй;ВТОРОЙ;A;gen sg plen m inan -;;;очень мало из второй части , я;й;о;р;о;т;в;Й;ВТОРОЙ;A;- acc sg plen m inan
46527;;и;И;CONJ;CONJ;;;, что профиль и все такое ,;и;;;;;;И;И;CONJ;CONJ
